Working Hours,Deadlines,Productivity Score,Sleep Hours,Work Type,Stress Level
49.96714153011233,8.0,94.0,8.863655929788536,Hybrid,0.0
43.61735698828815,1.0,,6.614957457813418,Hybrid,8.0
51.47688538100692,4.0,85.0,8.58233861882762,Remote,1.0
60.23029856408026,12.0,73.0,8.416063222223627,Remote,2.0
42.658466252766644,3.0,72.0,5.2350022639217695,Hybrid,4.0
42.6586304305082,13.0,67.0,8.876062177403728,Onsite,9.0
60.79212815507391,6.0,70.0,7.442669150615713,Onsite,3.0
52.67434729152909,11.0,71.0,5.189975419383671,Onsite,4.0
40.30525614065048,4.0,89.0,9.6412470099066,Hybrid,5.0
50.42560043585965,64.0,59.0,6.811636618104875,Remote,4.0
40.365823071875376,7.0,79.0,4.084835271533624,Onsite,9.0
40.34270246429743,11.0,74.0,5.940600478143836,Hybrid,0.0
47.41962271566034,1.0,70.0,5.571318637427161,Hybrid,5.0
25.86719755342202,7.0,97.0,5.977390098827698,Remote,8.0
27.750821674869673,12.0,70.0,,,2.0
39.37712470759027,,77.0,6.613916100572604,Hybrid,1.0
34.87168879665576,7.0,61.0,6.557495937224296,Onsite,5.0
48.142473325952736,10.0,84.0,6.853772161034412,Onsite,2.0
,16.0,80.0,7.881090079626332,Onsite,3.0
30.876962986647086,8.0,48.0,5.880345461159077,Hybrid,5.0
59.65648768921554,9.0,91.0,8.771500796505919,Onsite,5.0
100.0,,48.0,1.0,Remote,1.0
45.67528204687924,2.0,54.0,7.922678283738138,Hybrid,
30.752518137865433,13.0,52.0,9.464906991528903,Hybrid,8.0
39.556172754748175,13.0,61.0,6.733965177040136,Onsite,1.0
46.10922589709866,4.0,55.0,,Onsite,2.0
33.490064225776976,12.0,71.0,5.548041414436792,Onsite,8.0
48.75698018345672,17.0,41.0,6.23232741381246,Hybrid,3.0
,8.0,65.0,9.351517805821981,Remote,0.0
42.083062502067236,13.0,53.0,8.122723441575463,Remote,10.0
38.98293387770603,18.0,,7.627816480140959,Hybrid,1.0
63.522781845089376,15.0,,4.093038179175179,Remote,
,8.0,73.0,5.925290648400123,Onsite,8.0
34.422890710440996,15.0,47.0,9.608487715490279,Hybrid,8.0
,1.0,75.0,7.616247944686226,Remote,10.0
32.791563500289776,10.0,60.0,7.803393095266071,Hybrid,5.0
47.08863595004755,12.0,95.0,7.255832730919159,,10.0
25.403298761202244,5.0,85.0,6.080515766599682,Hybrid,5.0
,9.0,82.0,7.498812385684665,Remote,2.0
46.96861235869123,32.0,95.0,4.704678781266235,Hybrid,4.0
90.0,64.0,,1.0,Hybrid,10.0
46.7136828118997,14.0,85.0,5.897087920933666,Hybrid,3.0
43.843517176117594,13.0,83.0,7.288246354049898,Hybrid,9.0
41.98896304410711,13.0,87.0,,Hybrid,9.0
30.214780096325725,5.0,45.0,7.19056403802235,Onsite,8.0
37.801557916052914,16.0,59.0,5.508161130502793,Hybrid,8.0
40.393612290402125,11.0,70.0,5.710261793818157,Hybrid,0.0
,5.0,72.0,8.949382716497809,Hybrid,7.0
48.43618289568462,,83.0,7.055941119730993,Remote,8.0
27.36959844637266,11.0,46.0,5.644291932346677,Hybrid,4.0
48.24083969394795,19.0,47.0,7.280250209141427,Onsite,3.0
41.149177195836835,3.0,48.0,4.7955725439905645,Hybrid,9.0
38.23077999694041,15.0,,7.5734954916998305,Remote,3.0
51.11676288840868,7.0,56.0,8.6609772797739,Remote,1.0
55.30999522495951,7.0,91.0,7.992593102532395,Hybrid,8.0
54.31280119116199,6.0,84.0,10.0,Hybrid,4.0
36.607824767773614,3.0,76.0,4.092413408106677,,10.0
41.907876241487855,13.0,81.0,7.190453620119682,Hybrid,2.0
,28.0,83.0,4.984748905263221,Remote,
54.75545127122359,5.0,56.0,6.740167852972352,Hybrid,8.0
40.2082576215471,18.0,92.0,7.002315952618379,Remote,8.0
43.14341023336183,8.0,77.0,10.0,Remote,4.0
33.93665025993972,17.0,74.0,6.9103343344115,Onsite,7.0
100.0,4.0,99.0,15.0,Remote,3.0
53.125258223941984,14.0,86.0,8.507738660035134,Hybrid,4.0
58.56240028570823,17.0,78.0,6.920767390708633,Hybrid,6.0
44.27989878419666,10.0,69.0,9.746720612881948,Hybrid,6.0
55.03532897892024,48.0,45.0,8.004526733974757,Hybrid,6.0
48.61636025047634,16.0,43.0,8.242754619730025,Onsite,7.0
38.54880245394876,56.0,90.0,4.198654095341865,,10.0
48.61395605508414,16.0,76.0,9.977819228254827,Onsite,4.0
60.38036566465969,32.0,74.0,,Onsite,0.0
44.64173960890049,10.0,97.0,6.985404748737484,Remote,10.0
60.64643655814006,17.0,96.0,6.02094414229698,Onsite,
20.0,,48.0,5.463623034058189,Remote,8.0
53.21902504375224,64.0,45.0,5.19674744923849,Hybrid,6.0
45.870470682381715,17.0,52.0,7.154862488048628,Remote,5.0
42.009926495341325,16.0,98.0,,,4.0
45.91760776535502,19.0,61.0,6.635796569032074,Onsite,
25.124310853991073,,,8.586652970953356,Hybrid,2.0
42.80328112162488,6.0,69.0,7.947913356613276,Hybrid,9.0
48.57112571511746,6.0,91.0,7.648653081484091,Onsite,0.0
59.77894044741516,9.0,75.0,5.656923186712662,Remote,5.0
39.81729781726352,4.0,41.0,4.620857211521633,Onsite,7.0
36.91506397106812,12.0,97.0,8.562691178532392,Remote,1.0
39.982429564154636,12.0,75.0,6.326560276089739,,7.0
54.15402117702074,,47.0,6.875382338554174,Onsite,7.0
48.287511096596845,15.0,84.0,6.703608146916461,Hybrid,9.0
39.70239796232961,,81.0,8.008589454821312,,7.0
50.13267433113356,7.0,89.0,9.764974069188938,Hybrid,9.0
45.9707754934804,,48.0,9.193561227135143,Onsite,2.0
90.0,16.0,40.0,1.0,Hybrid,9.0
37.979469061226474,12.0,52.0,6.537191543066442,Hybrid,
41.723378534022316,7.0,,4.979884722222192,Onsite,10.0
,18.0,,8.407643286370277,Hybrid,3.0
30.364850518678814,15.0,71.0,7.005975222436126,Remote,2.0
47.96120277064576,6.0,73.0,7.909227807303042,Hybrid,10.0
47.610552721798896,12.0,82.0,6.408813294163312,Remote,8.0
45.05113456642461,11.0,70.0,5.44094259110353,Hybrid,7.0
42.65412866624853,3.0,53.0,5.69757890230006,Onsite,9.0
,2.0,93.0,4.700480999113404,Onsite,1.0
40.79354677234641,6.0,86.0,5.104548895747645,Hybrid,7.0
41.572854834732304,5.0,53.0,4.788560416737203,Remote,10.0
,18.0,87.0,5.4464459832803325,Hybrid,10.0
43.387142883339905,16.0,94.0,5.3615827539532255,,2.0
90.0,8.0,68.0,2.0,Hybrid,9.0
63.8618590121053,11.0,86.0,7.532292466982497,Onsite,5.0
46.74577812831839,10.0,,7.589506310287279,Remote,4.0
47.57550390722764,12.0,66.0,8.762493043377372,Remote,7.0
44.25554084233833,6.0,48.0,6.882493162935828,Onsite,8.0
25.812287847009586,5.0,76.0,5.8287781043756315,Remote,
44.73486124550783,,76.0,10.0,Onsite,
45.60230209941027,16.0,82.0,8.358468854955694,Onsite,5.0
,14.0,67.0,7.228479689806837,Onsite,5.0
43.076390352188774,,91.0,7.124311680988496,,0.0
48.015473423336125,19.0,96.0,7.43448028135045,Remote,4.0
44.65288230294757,14.0,63.0,6.6968480794686736,Hybrid,7.0
33.31321962380468,7.0,67.0,7.192336812255734,Hybrid,5.0
56.42822814515021,5.0,75.0,7.749069490923694,Remote,0.0
,18.0,91.0,5.910195679051683,Hybrid,4.0
52.910319470430466,2.0,57.0,4.548826222244449,Onsite,10.0
100.0,11.0,64.0,1.0,Hybrid,4.0
,8.0,74.0,8.331848228400572,Onsite,2.0
30.981489372077192,1.0,,4.625613755923821,Remote,7.0
50.868570938002705,12.0,53.0,7.698015990936815,Hybrid,8.0
,2.0,78.0,5.268466157427799,Remote,5.0
35.09463674869312,18.0,65.0,5.292631080910105,Onsite,5.0
0.0,7.0,47.0,2.0,Hybrid,1.0
45.99651365087641,17.0,63.0,7.291198228008465,Onsite,9.0
39.96524345883801,14.0,55.0,5.067112437433611,Onsite,
29.493365689338674,7.0,59.0,6.074601294558821,Onsite,5.0
45.68562974806027,3.0,54.0,6.961421391729165,Remote,7.0
34.37696286273895,6.0,46.0,5.184607313729591,Remote,1.0
49.73592430635182,2.0,97.0,9.142351321712038,Remote,8.0
35.80575765766197,17.0,56.0,,Hybrid,8.0
60.499344050175395,12.0,61.0,6.672746226323755,Onsite,3.0
